BASELINE-FULL-DIGEST	fa67b718ca029e0f1da088132ceeff94a6369e329c5632954afc6afb03289b8e
BASELINE-NONPASS-DIGEST	aa204ad7f52f85a95f5823b1992f38190b7113fa04c4a803284f77cfc31606b4
BASELINE-SECTION-DIGEST	e675de1b06bb5916f8a0b291702f69e9dbfcc04e07a428c38f0f324a161034db
BASELINE-AXIS	commonmark	0.31.2	commonmark	3	Tabs		source	MATCH	4a67abb7bf2032868a2697ff06149fb79f478bb5c498125bd23cc2f6546dc38d	4a67abb7bf2032868a2697ff06149fb79f478bb5c498125bd23cc2f6546dc38d	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	9a48bd47e2faaff582f05ecc958d3d5b75ce3dedda35cbe9c46c51bb0b1d9540
BASELINE-AXIS	commonmark	0.31.2	commonmark	3	Tabs		status	MATCH	43a67b38cde0acf1fea5023df56f57249322d1c241c29aa9dcd56b9bdc7b9bad	43a67b38cde0acf1fea5023df56f57249322d1c241c29aa9dcd56b9bdc7b9bad	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	9a48bd47e2faaff582f05ecc958d3d5b75ce3dedda35cbe9c46c51bb0b1d9540
BASELINE-AXIS	commonmark	0.31.2	commonmark	3	Tabs		tokens	MATCH	571f5b7c935198611c43d4452cdd840aae94eb729343fe9a9b0ea4d85e0a2d93	571f5b7c935198611c43d4452cdd840aae94eb729343fe9a9b0ea4d85e0a2d93	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	9a48bd47e2faaff582f05ecc958d3d5b75ce3dedda35cbe9c46c51bb0b1d9540
BASELINE-AXIS	commonmark	0.31.2	commonmark	4	Tabs		chunks	MATCH	466160b05e552f3ed672d36fa085462e3bc5c52564df915125ffa5d85b880bca	466160b05e552f3ed672d36fa085462e3bc5c52564df915125ffa5d85b880bca	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	bd9dfd961f5603a109cf12140f3c5ecaf2fbf8b2141a2e594f41826e45bfe42c
BASELINE-AXIS	commonmark	0.31.2	commonmark	4	Tabs		html	MATCH	d1d847f9b04e22f0c22f68d3a93904185b08800767e60ca4a45d931f25d57603	d1d847f9b04e22f0c22f68d3a93904185b08800767e60ca4a45d931f25d57603	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	bd9dfd961f5603a109cf12140f3c5ecaf2fbf8b2141a2e594f41826e45bfe42c
BASELINE-AXIS	commonmark	0.31.2	commonmark	4	Tabs		source	MATCH	1c3cc5a19196177a49099c267af7641b1f9442d0906a133b2e19d2f3c3c24069	1c3cc5a19196177a49099c267af7641b1f9442d0906a133b2e19d2f3c3c24069	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	bd9dfd961f5603a109cf12140f3c5ecaf2fbf8b2141a2e594f41826e45bfe42c
BASELINE-AXIS	commonmark	0.31.2	commonmark	4	Tabs		status	MATCH	43a67b38cde0acf1fea5023df56f57249322d1c241c29aa9dcd56b9bdc7b9bad	43a67b38cde0acf1fea5023df56f57249322d1c241c29aa9dcd56b9bdc7b9bad	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	bd9dfd961f5603a109cf12140f3c5ecaf2fbf8b2141a2e594f41826e45bfe42c
BASELINE-AXIS	commonmark	0.31.2	commonmark	4	Tabs		tokens	MATCH	571f5b7c935198611c43d4452cdd840aae94eb729343fe9a9b0ea4d85e0a2d93	571f5b7c935198611c43d4452cdd840aae94eb729343fe9a9b0ea4d85e0a2d93	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	bd9dfd961f5603a109cf12140f3c5ecaf2fbf8b2141a2e594f41826e45bfe42c
BASELINE-AXIS	commonmark	0.31.2	commonmark	5	Tabs		chunks	MATCH	23ed49653cba60a64b9b97044b9f8faf95c5e7b412ce494db94d1232fcda5c1b	23ed49653cba60a64b9b97044b9f8faf95c5e7b412ce494db94d1232fcda5c1b	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	623d9d38ef641696994e68713efdc701e82fe5bf9b41c4628be692a462b8ac1e
BASELINE-AXIS	commonmark	0.31.2	commonmark	5	Tabs		html	DIFF	4276384cc6fefa771886a1462a11073f37ee53dbcc43f83caef6d35d8bc152a6	0fd59335d5f31de2dada7dba0aefb56e3809efc404944d57a9a5af38f929218e	a36b38165baaf29f5ec5b7d28bbef320b3a68507b174a155424f5e45267dcb0e	623d9d38ef641696994e68713efdc701e82fe5bf9b41c4628be692a462b8ac1e
